DateTime	RespValue
15:29:27.428	97.3
15:29:27.440	98.5
15:29:27.452	100.7
15:29:27.460	100.0
15:29:27.472	103.5
15:29:27.485	106.5
15:29:27.493	111.0
15:29:27.506	114.7
15:29:27.518	119.1
15:29:27.526	122.4
15:29:27.538	126.6
15:29:27.551	131.8
15:29:27.559	136.7
15:29:27.571	142.9
15:29:27.583	145.6
15:29:27.592	147.8
15:29:27.604	151.0
15:29:27.616	153.5
15:29:27.628	154.5
15:29:27.637	155.4
15:29:27.649	155.1
15:29:27.661	154.3
15:29:27.669	152.5
15:29:27.682	151.9
15:29:27.694	152.8
15:29:27.702	151.9
15:29:27.714	150.6
15:29:27.727	149.1
15:29:27.735	148.9
15:29:27.747	149.1
15:29:27.759	151.0
15:29:27.768	152.6
15:29:27.780	151.7
15:29:27.792	152.4
15:29:27.800	151.7
15:29:27.813	152.4
15:29:27.825	151.3
15:29:27.837	151.4
15:29:27.845	150.0
15:29:27.858	150.1
15:29:27.870	147.5
15:29:27.878	145.3
15:29:27.891	145.3
15:29:27.903	141.6
15:29:27.911	138.5
15:29:27.923	137.4
15:29:27.935	136.7
15:29:27.944	133.9
15:29:27.956	133.9
15:29:27.968	131.7
15:29:27.976	129.5
15:29:27.989	131.0
15:29:28.001	129.7
15:29:28.013	134.3
15:29:28.021	140.2
15:29:28.034	144.7
15:29:28.046	147.7
15:29:28.054	155.5
15:29:28.066	160.4
15:29:28.079	166.1
15:29:28.091	168.9
15:29:28.099	169.9
15:29:28.112	173.8
15:29:28.124	173.3
15:29:28.132	172.4
15:29:28.145	168.1
15:29:28.157	167.2
15:29:28.165	164.1
15:29:28.177	160.2
15:29:28.190	156.6
15:29:28.198	156.6
15:29:28.210	154.0
15:29:28.222	149.4
15:29:28.231	145.3
15:29:28.243	140.4
15:29:28.255	136.4
15:29:28.267	130.5
15:29:28.276	123.3
15:29:28.288	116.2
15:29:28.300	108.9
15:29:28.308	101.7
15:29:28.321	95.5
15:29:28.333	88.8
15:29:28.341	81.1
15:29:28.353	73.3
15:29:28.366	64.8
15:29:28.374	56.7
15:29:28.386	49.7
15:29:28.398	40.8
15:29:28.411	31.0
15:29:28.419	20.8
15:29:28.431	10.0
15:29:28.443	0.7
15:29:28.452	-7.9
15:29:28.464	-18.0
15:29:28.476	-27.7
15:29:28.484	-35.3
15:29:28.497	-43.3
15:29:28.509	-50.4
15:29:28.521	-55.2
15:29:28.529	-61.2
15:29:28.542	-67.0
15:29:28.554	-70.9
15:29:28.562	-75.9
15:29:28.575	-79.1
15:29:28.587	-82.5
15:29:28.595	-86.3
15:29:28.607	-91.9
15:29:28.620	-97.1
15:29:28.628	-103.6
15:29:28.640	-107.5
15:29:28.652	-111.8
15:29:28.660	-117.6
15:29:28.673	-120.6
15:29:28.685	-125.4
15:29:28.697	-127.8
15:29:28.706	-132.6
15:29:28.718	-133.9
15:29:28.730	-133.8
15:29:28.738	-134.6
15:29:28.751	-136.0
15:29:28.763	-138.1
15:29:28.775	-139.2
15:29:28.783	-142.2
15:29:28.796	-142.2
15:29:28.808	-143.2
15:29:28.816	-143.4
15:29:28.828	-144.3
15:29:28.841	-145.0
15:29:28.849	-145.8
15:29:28.861	-150.0
15:29:28.873	-150.0
15:29:28.882	-150.6
15:29:28.894	-148.9
15:29:28.906	-149.7
15:29:28.914	-150.2
15:29:28.927	-148.6
15:29:28.939	-151.1
15:29:28.951	-151.4
15:29:28.959	-152.2
15:29:28.972	-149.4
15:29:28.984	-150.3
15:29:28.992	-149.5
15:29:29.004	-150.9
15:29:29.017	-150.6
15:29:29.025	-150.4
15:29:29.037	-151.1
15:29:29.049	-149.1
15:29:29.062	-150.7
15:29:29.070	-149.8
15:29:29.082	-149.5
15:29:29.095	-146.7
15:29:29.103	-148.8
15:29:29.115	-147.2
15:29:29.127	-147.7
15:29:29.135	-147.1
15:29:29.148	-146.7
15:29:29.160	-148.4
15:29:29.168	-148.2
15:29:29.181	-148.1
15:29:29.193	-146.9
15:29:29.205	-150.1
15:29:29.213	-148.1
15:29:29.226	-149.0
15:29:29.238	-146.8
15:29:29.246	-146.9
15:29:29.258	-148.8
15:29:29.271	-147.7
15:29:29.279	-146.6
15:29:29.291	-145.9
15:29:29.303	-147.5
15:29:29.312	-145.1
15:29:29.324	-144.0
15:29:29.336	-142.7
15:29:29.348	-143.0
15:29:29.357	-141.9
15:29:29.369	-139.7
15:29:29.381	-137.8
15:29:29.389	-136.1
15:29:29.402	-136.0
15:29:29.414	-133.8
15:29:29.422	-133.0
15:29:29.434	-131.9
15:29:29.447	-129.8
15:29:29.459	-129.1
15:29:29.467	-128.0
15:29:29.479	-125.7
15:29:29.492	-122.9
15:29:29.500	-122.3
15:29:29.512	-119.7
15:29:29.524	-118.4
15:29:29.533	-114.3
15:29:29.545	-111.4
15:29:29.557	-107.9
15:29:29.565	-102.9
15:29:29.578	-98.4
15:29:29.590	-95.5
15:29:29.598	-91.9
15:29:29.610	-86.8
15:29:29.623	-83.1
15:29:29.631	-78.5
15:29:29.643	-75.6
15:29:29.656	-70.5
15:29:29.664	-67.4
15:29:29.676	-65.1
15:29:29.688	-62.8
15:29:29.701	-61.4
15:29:29.709	-58.1
15:29:29.721	-54.7
15:29:29.734	-50.5
15:29:29.742	-48.1
15:29:29.754	-45.4
15:29:29.766	-43.0
15:29:29.774	-39.8
15:29:29.787	-36.4
15:29:29.799	-33.3
15:29:29.807	-27.1
15:29:29.819	-24.9
15:29:29.832	-21.5
15:29:29.844	-19.2
